#RA DEC ID
83.79343306 -5.50222611 379
83.79385500 -5.33437500 380
83.79413694 -5.36560111 381
83.79392000 -5.37124111 382
83.79414806 -5.37909194 383
83.79397111 -5.40463306 384
83.79388694 -5.42903694 385
83.79381306 -5.43843000 386
83.79405000 -5.52873000 387
83.79415389 -5.55368306 388
83.79424694 -5.38224500 389
83.79437694 -5.38428306 390
83.79453194 -5.39243694 391
83.79464389 -5.37226806 392
83.79475306 -5.39575306 393
83.79479000 -5.44115000 394
83.79512889 -5.29245806 395
83.79510000 -5.36352306 396
83.79520611 -5.37798806 397
83.79519306 -5.43249611 398
83.79522000 -5.46795000 399
83.79580111 -5.37351806 400
83.79567611 -5.37436000 401
83.79545111 -5.37955194 402
83.79564389 -5.41351000 403
83.79541694 -5.46690889 404
83.79542806 -5.50193889 405
83.79586611 -5.25610306 406
83.79603000 -5.37959500 407
83.79619000 -5.38735000 408
83.79662000 -5.32657194 409
83.79653000 -5.42562194 410
83.79639000 -5.43511000 411
83.79643611 -5.58323306 412
83.79675806 -5.28911889 413
83.79669389 -5.37713500 414
83.79697806 -5.40454306 415
83.79748000 -5.32003000 416
83.79714694 -5.35430389 417
83.79713889 -5.40735806 418
83.79718194 -5.41060111 419
83.79772500 -5.23439889 420
83.79765306 -5.36235111 421
83.79784000 -5.39776694 422
83.79795306 -5.35173694 423
83.79808000 -5.39450611 424
83.79815611 -5.39591889 425
83.79820611 -5.41335611 426
83.79806000 -5.41664611 427
83.79804806 -5.43141694 428
83.79793306 -5.43399194 429
83.79848000 -5.28272306 430
83.79849000 -5.32007000 431
83.79850806 -5.38093111 432
83.79859611 -5.40599694 433
83.79865194 -5.43575694 434
83.79842000 -5.45806500 435
83.79852389 -5.51713611 436
83.79911000 -5.35904000 437
83.79914611 -5.36536000 438
83.79882611 -5.39182194 439
83.79892111 -5.39264194 440
83.79885611 -5.39456500 441
83.79891000 -5.39771111 442
83.79887194 -5.42021500 443
83.79915611 -5.45856389 444
83.79943694 -5.29059306 445
83.79922389 -5.30954389 446
83.79940889 -5.35005111 447
83.79955611 -5.35093000 448
83.79919000 -5.36366611 449
83.79927000 -5.40108000 450
83.79959306 -5.32393694 451
83.79962500 -5.33385694 452
83.79990111 -5.34249694 453
83.79993806 -5.38167611 454
83.79988889 -5.38420111 455
83.79983611 -5.47920889 456
83.79983500 -5.49233806 457
83.79958500 -5.53199194 458
83.80035111 -5.32351806 459
83.80035389 -5.34438806 460
83.80026111 -5.46889806 461
83.80060111 -5.33581694 462
83.80080111 -5.34062694 463
83.80054889 -5.40941889 464
83.80055194 -5.41327889 465
83.80076611 -5.50577611 466
83.80067611 -5.52735806 467
83.80116611 -5.34584306 468
83.80119806 -5.39668194 469
83.80108611 -5.40679611 470
83.80086194 -5.41565500 471
83.80109000 -5.43350000 472
83.80098389 -5.50901306 473
83.80162500 -5.34664000 474
83.80161889 -5.35876806 475
83.80146194 -5.37813500 476
83.80162889 -5.39769694 477
83.80199389 -5.34213000 478
83.80200194 -5.40097806 479
83.80240111 -5.27597500 480
83.80249389 -5.32927500 481
83.80242194 -5.38385611 482
83.80209889 -5.41057111 483
83.80290889 -5.32647500 484
83.80253806 -5.34523806 485
83.80278306 -5.36805306 486
83.80252889 -5.39559000 487
83.80301306 -5.27043000 488
83.80313000 -5.28136000 489
83.80317806 -5.32431694 490
83.80324889 -5.34299889 491
83.80332306 -5.34415389 492
83.80323889 -5.36606806 493
83.80305194 -5.38183806 494
83.80329111 -5.40293611 495
83.80294306 -5.40735611 496
83.80299806 -5.45297389 497
83.80348694 -5.25671000 498
83.80368806 -5.26356611 499
83.80343389 -5.34542889 500
83.80364000 -5.35139000 501
83.80373000 -5.35937000 502
83.80356000 -5.35943000 503
83.80364111 -5.37999500 504
83.80353000 -5.39520000 505
83.80368194 -5.39761500 506
83.80380000 -5.38181000 507
83.80407111 -5.39167611 508
83.80407306 -5.39855806 509
83.80399500 -5.40877500 510
83.80394194 -5.41606889 511
83.80398694 -5.48044889 512
83.80424306 -5.31784806 513
83.80437111 -5.34171194 514
83.80441889 -5.36476889 515
83.80430500 -5.36690500 516
83.80439000 -5.37085500 517
83.80455000 -5.38143111 518
83.80493111 -5.29186694 519
83.80478194 -5.30271111 520
83.80463306 -5.35369500 521
83.80490306 -5.37251889 522
83.80461806 -5.37976306 523
83.80466000 -5.38071806 524
83.80477194 -5.41467306 525
83.80499000 -5.46467000 526
83.80508500 -5.34795306 527
83.80518694 -5.36938111 528
83.80504694 -5.38187500 529
83.80536000 -5.38268306 530
83.80525694 -5.39174000 531
83.80515000 -5.39872889 532
83.80502194 -5.41542306 533
83.80527000 -5.46502000 534
83.80546806 -5.33856194 535
83.80579500 -5.34763194 536
83.80571000 -5.37391611 537
83.80546000 -5.37753194 538
83.80549000 -5.39807000 539
83.80576611 -5.39810889 540
83.80577000 -5.47160500 541
83.80614611 -5.28624111 542
83.80599111 -5.35201611 543
83.80605000 -5.39452889 544
83.80622000 -5.51332306 545
83.80635111 -5.28806306 546
83.80656111 -5.29603389 547
83.80660000 -5.31591000 548
83.80665111 -5.34203000 549
83.80636194 -5.37207889 550
83.80635389 -5.38457306 551
83.80640000 -5.39190889 552
83.80663806 -5.39869194 553
83.80646500 -5.39990694 554
83.80633694 -5.41700889 555
83.80641611 -5.45797000 556
83.80658306 -5.46589000 557
83.80661000 -5.58560000 558
83.80678000 -5.30911694 559
83.80679389 -5.33188389 560
83.80673806 -5.35585500 561
83.80706194 -5.38228389 562
83.80696000 -5.39589000 563
83.80674694 -5.40714806 564
83.80697194 -5.47951694 565
83.80672694 -5.51594694 566
83.80687806 -5.53686000 567
83.80748889 -5.32370889 568
83.80720000 -5.35995389 569
83.80737806 -5.36328611 570
83.80740194 -5.37149000 571
83.80729194 -5.37277694 572
83.80708500 -5.37511500 573
83.80713694 -5.41056694 574
83.80740000 -5.58187194 575
83.80787111 -5.36398194 576
83.80756389 -5.36746194 577
83.80752694 -5.36860889 578
83.80765000 -5.36918694 579
83.80764000 -5.37957000 580
83.80774194 -5.40198111 581
83.80785389 -5.40726000 582
83.80766194 -5.46030000 583
83.80750306 -5.50673306 584
83.80792389 -5.31474500 585
83.80824694 -5.35646389 586
83.80825806 -5.36609500 587
